Scientist name,Year of birth
Ada Lovelace,1815
Albert Einstein,1879
Alice Roberts,1973
Anne McLarren,1927
Brian Cox,1968
Carl Sagan,1934
Charles Darwin,1809
Dian Fossey,1932
Edwin Hubble,1889
Hedy Lamarr,1914
Isaac Newton,1643
Lise Meitner,1878
Marie Curie,1867
Micheal Faraday,1791
Richard Feynam,1918
Rosalind Franklin,1920
Stephen Hawkins,1942
Tim Berners-Lee,1955
