Speed (rpm),Power (mW)
2479.5,882.47
2479.5,882.48
2479.4,882.49
2479.3,882.52
2479.2,882.58
2479.1,882.69
2479,882.87
2478.9,883.14
2478.8,883.5
2478.8,884.14
2478.8,884.88
2478.8,885.7
2478.9,886.58
2479,887.51
2479.1,888.46
2479.3,889.41
2479.6,890.33
2479.9,891.21
2480.1,892.02
2480.5,892.62
2480.8,893.13
2481.1,893.55
2481.4,893.87
2481.6,894.12
2481.9,894.29
2482.2,894.38
2482.4,894.42
2482.6,894.41
2482.8,894.37
2482.9,894.37
2483.1,894.35
2483.2,894.3
2483.4,894.23
2483.5,894.13
2483.7,894
2483.8,893.84
2484,893.65
2484.2,893.43
2484.4,893.18
2484.7,892.85
2484.9,892.49
2485.2,892.12
2485.5,891.73
2485.9,891.33
2486.2,890.94
2486.6,890.56
2487,890.19
2487.4,889.85
2487.8,889.54
2488.2,889.27
2488.6,889.04
2489,888.86
2489.4,888.74
2489.7,888.67
2490.1,888.67
2490.4,888.72
2490.7,888.82
2491.1,888.98
2491.4,889.18
2491.7,889.5
2492,889.84
2492.4,890.2
2492.8,890.55
2493.2,890.88
2493.6,891.18
2494,891.45
2494.4,891.67
2494.8,891.84
2495.2,891.96
2495.6,891.87
2495.9,891.76
2496.2,891.64
2496.4,891.55
2496.6,891.52
2496.7,891.56
2496.8,891.7
2496.9,891.95
2497,892.34
2497,892.86
2497,893.77
2497.1,894.8
2497.2,895.91
2497.4,897.05
2497.6,898.2
2497.8,899.31
2498.1,900.34
2498.4,901.26
2498.8,902.04
2499.1,902.64
2499.5,902.75
2499.9,902.7
2500.3,902.5
2500.7,902.18
2501,901.79
2501.4,901.35
2501.7,900.92
2502,900.51
2502.3,900.17
2502.7,899.92
2503,900.1
2503.4,900.37
2503.8,900.73
2504.2,901.15
2504.7,901.59
2505.2,902.03
2505.8,902.43
2506.3,902.76
2507,903
2507.6,903.11
2508.2,902.84
2508.9,902.43
2509.5,901.91
2510,901.29
2510.6,900.59
2511.1,899.86
2511.6,899.11
2512.1,898.39
2512.5,897.72
2512.8,897.14
2513.2,896.8
2513.5,896.58
2513.8,896.5
2514.1,896.55
2514.3,896.74
2514.6,897.06
2514.9,897.5
2515.2,898.04
2515.5,898.68
2515.9,899.38
2516.2,900.15
2516.7,900.94
2517.1,901.74
2517.7,902.52
2518.2,903.28
2518.8,903.98
2519.4,904.61
