Speed (rpm),Power (mW)
2793.8,924.72
2792.3,925.01
2790.7,925.32
2789.2,925.67
2787.8,926.1
2786.4,926.65
2785.1,927.33
2783.9,928.18
2782.9,929.62
2782,931.21
2781.4,932.89
2780.9,934.61
2780.6,936.32
2780.4,937.96
2780.4,939.5
2780.6,940.87
2780.9,942.03
2781.4,942.96
2781.9,943.11
2782.4,943.03
2782.9,942.76
2783.5,942.36
2784,941.87
2784.6,941.36
2785.1,940.87
2785.7,940.47
2786.3,940.21
2787,940.12
2787.8,940.63
2788.7,941.34
2789.7,942.21
2790.9,943.22
2792.3,944.33
2793.8,945.48
2795.5,946.62
2797.3,947.72
2799.2,948.71
2801.2,949.55
2803.2,950.06
2805.2,950.37
2807.2,950.49
2809.2,950.41
2811.1,950.15
2812.9,949.72
2814.6,949.16
2816.2,948.48
2817.7,947.73
2819.1,946.92
2820.4,946.25
2821.7,945.57
2822.9,944.91
2824.1,944.27
2825.2,943.67
2826.2,943.12
2827.2,942.62
2828.1,942.18
2829,941.79
2829.8,941.47
2830.5,940.97
2831,940.55
2831.5,940.19
2831.8,939.91
2832,939.71
2832.1,939.58
2832.1,939.53
2832,939.55
2831.9,939.63
2831.7,939.76
2831.5,940.05
2831.3,940.35
2831.2,940.65
2831.1,940.93
2831.1,941.16
2831.1,941.32
2831.1,941.41
2831.2,941.4
2831.2,941.29
2831.3,941.08
2831.3,940.68
2831.2,940.21
2831.1,939.67
2830.8,939.1
2830.5,938.52
2830,937.97
2829.5,937.47
2828.8,937.05
2828.1,936.71
2827.3,936.49
2826.5,936.63
2825.7,936.87
2824.9,937.17
2824.1,937.51
2823.4,937.86
2822.7,938.18
2822.1,938.43
2821.5,938.58
2820.9,938.6
2820.4,938.47
2819.9,937.86
2819.4,937.09
2818.9,936.19
2818.3,935.18
2817.8,934.09
2817.2,932.96
2816.5,931.82
2815.8,930.71
2815.1,929.66
2814.3,928.7
2813.6,928.04
2812.8,927.5
2812,927.08
2811.2,926.78
2810.4,926.58
2809.6,926.46
2808.8,926.41
2808,926.41
2807.3,926.44
2806.5,926.47
2805.6,926.42
2804.8,926.34
2803.9,926.21
2803,926.03
2802.1,925.78
2801.2,925.47
2800.2,925.09
2799.2,924.66
2798.2,924.17
2797.1,923.66
2796,923.04
2795,922.43
2793.9,921.86
2792.8,921.36
2791.8,920.96
2790.8,920.69
2789.7,920.57
2788.8,920.62
2787.8,920.86
2786.9,921.3
2786,922.19
2785.2,923.26
2784.5,924.48
2783.8,925.82
2783.1,927.25
2782.5,928.72
2782.1,930.2
2781.6,931.65
2781.3,933.03
2781.1,934.3
2780.9,935.26
2780.8,936.07
2780.9,936.73
2781,937.25
2781.2,937.63
2781.5,937.89
2781.9,938.03
2782.3,938.06
2782.8,938.01
2783.4,937.88
2783.9,937.7
2784.5,937.46
2785.1,937.16
2785.7,936.8
2786.3,936.38
2786.9,935.9
2787.4,935.36
2787.9,934.77
2788.4,934.11
2788.8,933.41
2789.2,932.49
2789.5,931.56
2789.8,930.64
2790,929.76
2790.2,928.95
2790.3,928.23
2790.5,927.63
2790.6,927.17
2790.8,926.87
2791,926.74
2791.2,927.22
2791.6,927.86
2792,928.64
2792.5,929.52
2793,930.46
2793.7,931.45
2794.4,932.43
2795.2,933.38
2796,934.26
2796.8,935.04
2797.6,935.54
2798.3,935.91
2799,936.16
2799.7,936.28
2800.2,936.3
2800.7,936.21
2801,936.03
2801.3,935.78
2801.4,935.47
2801.5,935.12
2801.4,934.53
2801.3,933.92
2801.1,933.28
2800.8,932.62
2800.5,931.94
2800.1,931.23
2799.6,930.49
2799.1,929.72
2798.6,928.91
2798,928.07
2797.3,927.13
2796.7,926.14
2795.9,925.12
2795.2,924.06
2794.4,922.97
2793.5,921.86
2792.6,920.74
2791.7,919.62
2790.8,918.51
2789.8,917.43
2788.9,916.68
2788,915.99
2787,915.36
2786.1,914.81
2785.3,914.34
2784.4,913.97
2783.6,913.7
2782.8,913.54
2782,913.5
2781.2,913.58
2780.4,913.81
2779.5,914.15
2778.7,914.59
2777.8,915.13
2777,915.73
2776,916.4
2775.1,917.11
2774.2,917.85
