time (s),acceleration (m/s^2)
0.61,0.52498215
0.612,0.68256018
0.614,1.0638945
0.616,0.694548
0.618,1.3604508
0.62,1.4306904
0.622,1.7876763
0.624,2.3971716
0.626,1.4298075
0.628,1.5436035
0.63,2.2979925
0.632,1.4788575
0.634,1.1970162
0.636,1.8014103
0.638,2.3914818
0.64,1.7662905
0.642,2.2852395
0.644,2.1743865
0.646,1.9135386
0.648,1.9810314
0.65,2.6612568
0.652,1.2941352
0.654,1.6739784
0.656,1.957095
0.658,2.2065633
0.66,2.8573587
0.662,2.2188258
0.664,2.176839
0.666,2.7209016
0.668,2.3150619
0.67,2.8985607
0.672,2.2930875
0.674,2.4428862
0.676,2.4254244
0.678,2.0232144
0.68,1.9351206
0.682,1.9152063
0.684,3.2477967
0.686,2.2745466
0.688,3.351096
0.69,3.0373722
0.692,3.3792507
0.694,3.6133173
0.696,2.3179068
0.698,2.7531765
0.7,3.9184083
0.702,3.4381107
0.704,3.829824
0.706,3.2213097
0.708,2.5344135
0.71,3.4316361
0.712,2.7813312
0.714,3.3443271
0.716,3.6770823
0.718,3.4849044
0.72,3.6008586
0.722,3.3671844
0.724,3.047967
0.726,3.4186869
0.728,2.773287
0.73,3.6441207
0.732,4.2640146
0.734,2.9519271
0.736,2.8638333
0.738,4.2743151
0.74,3.3958296
0.742,3.0360969
0.744,4.3734942
0.746,3.3297102
0.748,4.5679284
0.75,3.177459
0.752,3.6077256
0.754,4.070169
0.756,4.0665393
0.758,4.1818068
0.76,4.29678
0.762,3.9556863
0.764,3.4167249
0.766,4.4470692
0.768,3.632643
0.77,4.1928921
0.772,4.531239
0.774,3.3065586
0.776,4.7481381
0.778,3.1906044
0.78,4.6325763
0.782,4.6527849
0.784,3.2992011
0.786,4.0905738
0.788,4.7695239
0.79,3.6157698
0.792,4.3694721
0.794,4.0635963
0.796,4.341906
0.798,4.318362
0.8,3.2104206
0.802,3.592422
0.804,4.1487471
0.806,3.9005541
0.808,4.7199834
0.81,4.2354675
0.812,3.9498984
0.814,3.5495523
0.816,3.4794108
0.818,4.4906256
0.82,3.8893707
0.822,4.52241
0.824,3.2705559
0.826,4.5250587
0.828,3.184326
0.83,4.4719866
0.832,4.4732619
0.834,3.9372435
0.836,3.2670243
0.838,3.3317703
0.84,4.3426908
0.842,4.5867636
0.844,3.2256261
0.846,4.4371611
0.848,4.8218112
0.85,3.7096515
0.852,5.2029297
0.854,3.8275677
0.856,3.6402948
0.858,4.5913743
0.86,4.6647531
0.862,4.0267107
0.864,4.5329067
0.866,4.3474977
0.868,5.526954
0.87,3.70818
0.872,4.5014166
0.874,4.2808878
0.876,4.3814403
0.878,4.2957009
0.88,4.2524388
0.882,4.6748574
0.884,5.1332787
0.886,4.3453395
0.888,5.1605505
0.89,4.6974204
0.892,4.7011482
0.894,4.3478901
0.896,4.387032
0.898,5.0692194
0.9,4.6287504
0.902,5.1431868
0.904,5.7237426
0.906,5.3864748
0.908,5.387652
0.91,5.747679
0.912,5.4467082
0.914,5.2708149
0.916,5.83695
0.918,4.3746714
0.92,3.609099
0.922,6.0964245
0.924,5.745717
0.926,5.2407963
0.928,5.6258388
0.93,5.1158169
0.932,5.0066316
0.934,4.7926755
0.936,5.0503842
0.938,4.4531514
0.94,5.3338932
0.942,5.1557436
0.944,6.1767684
0.946,5.5384317
0.948,6.0630705
0.95,5.2386381
0.952,5.30721
0.954,5.9617332
0.956,6.211692
0.958,5.3888292
0.96,6.1434144
0.962,5.8680477
0.964,5.5090017
0.966,6.1455726
0.968,5.9489802
0.97,6.0422733
0.972,5.4712332
0.974,5.0841306
0.976,5.2133283
0.978,5.8858038
0.98,4.5271188
0.982,4.7884572
0.984,5.2247079
0.986,5.321925
0.988,4.5611595
0.99,5.4020727
0.992,5.7120687
0.994,4.4760087
0.996,4.9830876
0.998,4.6470951
1,5.8880601
1.002,5.2921026
1.004,4.6331649
1.006,4.444911
1.008,5.1289623
1.01,5.4540657
1.012,5.410215
1.014,5.4336609
1.016,4.3747695
1.018,4.8730194
1.02,5.5016442
1.022,4.2984477
1.024,5.4320913
1.026,5.4833976
1.028,4.3979211
1.03,4.0400523
1.032,4.6209024
1.034,5.2402077
1.036,4.6031463
1.038,4.4729676
1.04,4.7165499
1.042,4.0996971
1.044,4.0324005
1.046,5.2000848
1.048,4.8018969
1.05,4.1517882
1.052,5.0730453
1.054,3.8227608
1.056,4.4762049
1.058,4.8693897
1.06,4.360545
1.062,4.5015147
1.064,4.6384623
1.066,5.2683624
1.068,5.1181713
1.07,3.8510136
1.072,4.1639526
1.074,4.3775163
1.076,5.1709491
1.078,4.4045919
1.08,4.2082938
1.082,4.8521241
1.084,4.629339
1.086,5.3342856
1.088,5.4620118
1.09,5.1925311
1.092,4.9947615
1.094,5.1195447
1.096,5.4342495
1.098,4.0404447
1.1,4.6302219
1.102,4.1566932
1.104,5.4839862
1.106,4.9890717
1.108,4.8071943
1.11,4.4907237
1.112,4.9750434
1.114,4.6523925
1.116,4.300704
1.118,4.3081596
1.12,4.4085159
1.122,5.055093
1.124,4.5475236
1.126,5.0800104
1.128,5.8842342
1.13,4.9534614
1.132,4.5423243
1.134,5.3547885
1.136,5.9040504
1.138,5.043321
1.14,4.6988919
1.142,4.9709232
1.144,4.8438837
1.146,5.9489802
1.148,5.5533429
1.15,5.8405797
1.152,5.8422474
1.154,5.7214863
1.156,5.8446018
1.158,6.2321949
1.16,6.9787359
1.162,6.453999
1.164,5.7576852
1.166,5.2244136
1.168,5.1832116
1.17,6.1708824
1.172,5.4575973
1.174,6.1298766
1.176,6.1188894
1.178,5.9106231
1.18,6.3292158
1.182,6.0933834
1.184,6.0363873
1.186,6.0720957
1.188,6.90624
1.19,5.9829228
1.192,5.4692712
1.194,5.7395367
1.196,6.4466415
1.198,6.6892428
1.2,7.0307289
1.202,5.9042466
1.204,6.8152032
1.206,6.5957535
1.208,6.3780696
1.21,6.5139381
1.212,8.594541
1.214,6.7743936
1.216,6.9253695
1.218,6.1835373
1.22,5.9835114
1.222,7.3345446
1.224,6.6014433
1.226,7.2321282
1.228,6.3656109
1.23,6.2512263
1.232,7.5523266
1.234,7.6523886
1.236,7.9326603
1.238,7.7404824
1.24,6.5937915
1.242,7.6202118
1.244,8.4000087
1.246,7.6730877
1.248,8.4031479
1.25,7.079877
1.252,8.5797279
1.254,8.6405499
1.256,8.1328824
1.258,7.9746471
1.26,8.0178111
1.262,8.8497972
1.264,7.7820768
1.266,8.5184154
1.268,9.6116418
1.27,9.1142748
1.272,9.1231038
1.274,9.3956256
1.276,9.334215
1.278,10.570275
1.28,10.935207
1.282,10.502586
1.284,11.452194
1.286,10.81062
1.288,11.07549
1.29,10.923435
1.292,11.097072
1.294,12.466548
1.296,12.547971
1.298,12.442023
1.3,13.235652
1.302,13.069863
1.304,13.32198
1.306,12.983535
1.308,13.88115
1.31,13.329828
1.312,13.348467
1.314,14.684589
1.316,14.826834
1.318,14.397156
1.32,15.025977
1.322,15.78429
1.324,15.839226
1.326,15.355593
1.328,15.688152
1.33,15.590052
1.332,16.389567
1.334,16.788834
1.336,16.467066
1.338,17.462781
1.34,16.65738
1.342,17.117469
1.344,18.626247
1.346,18.811656
1.348,17.483382
1.35,18.337833
1.352,18.970578
1.354,18.114165
1.356,19.18836
1.358,19.164816
1.36,18.960768
1.362,18.083754
1.364,18.671373
1.366,19.518957
1.368,19.202094
1.37,18.649791
1.372,18.936243
1.374,18.349605
1.376,18.876402
1.378,19.459116
1.38,19.253106
1.382,18.356472
1.384,18.881307
1.386,18.233847
1.388,19.212885
1.39,17.55009
1.392,17.556957
1.394,18.327042
1.396,16.952661
1.398,17.427465
1.4,17.661924
1.402,17.403921
1.404,16.094286
1.406,16.2846
1.408,15.866694
1.41,15.722487
1.412,15.479199
1.414,14.462883
1.416,15.381099
1.418,14.545287
1.42,13.431852
1.422,13.776183
1.424,13.844853
1.426,13.101255
1.428,12.481263
1.43,11.523807
1.432,10.530054
1.434,10.495719
1.436,9.3338226
1.438,8.7134382
1.44,8.993808
1.442,8.3143674
1.444,7.3519083
1.446,6.762033
1.448,4.7756061
1.45,4.4464806
1.452,3.654225
1.454,3.258882
1.456,1.9488546
1.458,0.6388272
1.46,-0.6712002
1.462,-1.9812276
1.464,-3.291255
1.466,-4.6012824
1.468,-5.9113098
1.47,-7.2213372
1.472,-8.5313646
1.474,-9.841392
1.476,-11.1514194
1.478,-12.4614468
1.48,-13.7714742
1.482,-15.0815016
1.484,-16.391529
1.486,-17.7015564
1.488,-19.0115838
1.49,-20.3216112
1.492,-21.6316386
1.494,-22.941666
1.496,-24.2516934
1.498,-25.5617208
1.5,-26.8717482
