u,192,2437,,2443,2516,2662,2812,2969,3132,3302,,,83.94,2403
h,192,2584,45.8,2592,2688,2880,3077,3280,3489,3705,,0.002339,83.94,2538
s,0.649,8.149,,8.173,8.447,8.903,9.281,9.607,9.897,10.16,,,0.2966,8.667
v,0.001,28.2,0.005,29.78,34.42,43.66,52.9,62.13,71.36,80.59,,10,0.001,106.4
u,138,2420,,2445,2516,2662,2812,2969,3132,3302,,,41.99,2389
h,138,2561,32.9,2594,2688,2880,3077,3280,3489,3705,,0.001228,41.99,2520
s,0.476,8.394,,8.496,8.768,9.223,9.601,9.921,10.22,10.48,,,0.151,8.901
v,0.001,206.1,0.000611,243.9,281.7,357.3,432.8,508.3,583.8,659.5,,0.01,0.1,206.1
u,0,2375,,2446,2517,2662,2812,2969,3132,3303,,,0,2375
h,0,2501,0.01,2595,2689,2880,3077,3280,3489,3705,,0.000611,0,2501
s,0,9.155,,9.468,9.739,10.19,10.571,10.9,11.19,11.45,,,0,9.155
